security_code,name,isin,issued_shares
EGAD, Eaagads Ltd ,KE0000000208,32157000
KUKZ, Kakuzi Ltd ,KE0000000281,19599999
KAPC, Kapchorua Tea Co. Ltd ,KE4000001760,7824000
LIMT, The Limuru Tea Co. Ltd ,KE0000000356,1800000
SASN, Sasini Ltd ,KE0000000430,228055500
WTK, Williamson Tea Kenya Ltd  ,KE0000000505,17512640
C&G, Car & General (K) Ltd ,KE0000000109,40103308
MASH, Marshalls (E.A.) Ltd ,KE0000000364,14393106
FIRE, Sameer Africa Ltd ,KE0000000232,278342393
BBK, Barclays Bank of Kenya Ltd ,KE0000000067,5431536000
CFC, CFC Stanbic of Kenya Holdings Ltd ,KE0000000091,395321638
DTK, Diamond Trust Bank Kenya Ltd ,KE0000000158,266321115
EQTY, Equity Group Holdings Ltd ,KE0000000554,3773674802
HFCK, Housing Finance Group Ltd ,KE0000000240,352416667
I&M, I&M Holdings Ltd  ,KE0000000125,392362039
KCB, KCB Group Ltd Ord ,KE0000000315,3066056647
NBK, National Bank of Kenya Ltd ,KE0000000398,308000000
NIC, NIC Bank Ltd ,KE0000000406,639945603
SCBK, Standard Chartered Bank Kenya Ltd ,KE0000000448,343510571.1
COOP, The Co-operative Bank of Kenya Ltd ,KE1000001568,4889316295
ADSS, Atlas African Industries Ltd,KE4000004095,1497370885
XPRS, Express Kenya Ltd  ,KE0000000224,35403790
HBER, Hutchings Biemer Ltd ,KE0000000257,360000
KQ, Kenya Airways Ltd ,KE0000000307,1496469035
LKL, Longhorn Publishers Ltd ,KE2000002275,369940476
NBV, Nairobi Business Ventures Ltd,KE5000000090,23600000
NMG, Nation Media Group Ltd ,KE0000000380,188542286
SGL, Standard Group  Ltd ,KE0000000455,81731808
TPSE, TPS Eastern Africa  Ltd   ,KE0000000539,182174108
UCHM, Uchumi Supermarket Ltd ,KE0000000489,364959616
SCAN,WPP Scangroup  Ltd ,KE0000000562,378865102
ARM, ARM Cement Ltd ,KE0000000034,495275000
BAMB, Bamburi Cement Ltd ,KE0000000059,362959275
BERG, Crown Paints Kenya Ltd ,KE0000000141,71181000
CABL, E.A.Cables Ltd ,KE0000000174,253125000
PORT, E.A.Portland Cement Co. Ltd ,KE0000000190,90000000
KEGN, KenGen Co. Ltd  ,KE0000000547,6243873779
KENO, KenolKobil Ltd                    ,KE0000000323,1471761200
KPLC, Kenya Power & Lighting  Co Ltd ,KE0000000349,1951467045
KPLC.P0004, Kenya Power & Lighting Ltd 4% Pref 20.00,KE4000001877,1800000
KPLC.P0007, Kenya Power & Lighting Ltd 7% Pref 20.00,KE4000002982,350000
TOTL, Total Kenya Ltd ,KE0000000463,175028706
UMME, Umeme Ltd ,KE2000005815,1623878005
BRIT, Britam Holdings Ltd,KE2000002192,1938415838
CIC, CIC Insurance Group Ltd ,KE2000002317,2615538528
JUB, Jubilee Holdings Ltd ,KE0000000273,65884500
KNRE, Kenya Re Insurance Corporation Ltd ,KE0000000604,699949068
CFCI, Liberty Kenya Holdings Ltd ,KE2000002168,535707499
PAFR, Pan Africa Insurance Holdings Ltd ,KE0000000414,144000000
ICDC, Centum Investment Co Ltd  ,KE0000000265,665441775
HAFR, Home Afrika Ltd,KE2000007258,405255320
KURV, Kurwitu Ventures Ltd,KE4000001216,102272
OCH, Olympia Capital Holdings Ltd ,KE0000000166,40000000
TCL,Trans-Century Ltd  ,KE2000002184,281426593
NSE, Nairobi Securities Exchange Ltd Ord 4.00 ,KE3000009674,259500000
BAUM, A.Baumann & Co Ltd  ,KE0000000018,3840066
BOC, B.O.C Kenya Ltd ,KE0000000042,19525446
BAT, British American Tobacco Kenya Ltd  ,KE0000000075,100000000
CARB, Carbacid Investments Ltd ,KE0000000117,254851988
EABL, East African Breweries Ltd ,KE0000000216,790774356
EVRD, Eveready East Africa Ltd ,KE0000000588,210000000
FTGH, Flame Tree Group Holdings Ltd,KE4000001323,161866804
ORCH, Kenya Orchards Ltd  ,KE0000000331,12868124
MSC, Mumias Sugar Co. Ltd ,KE0000000372,1530000000
UNGA, Unga Group Ltd ,KE0000000497,75708873
SCOM, Safaricom Ltd ,KE1000001402,40065428000
FAHR,STANLIB FAHARI I-REIT. Ord.20.00,KE5000003656,180972300
GLD,Barclays NewGold ETF,KE5000007095,
