isin,date,high,low,vwap,vol
KE0000000208,08-01-2018,25,25,25,200
KE0000000281,08-01-2018,359,359,359,100
KE4000001760,08-01-2018,,,,0
KE0000000356,08-01-2018,,,,0
KE0000000430,08-01-2018,27.75,27,27,1600
KE0000000505,08-01-2018,159,158,158,700
KE0000000109,08-01-2018,21,21,21,1200
KE0000000067,08-01-2018,9.7,9.55,9.6,189200
KE0000000158,08-01-2018,193,193,193,4300
KE0000000554,08-01-2018,40.5,40,40,349200
KE0000000240,08-01-2018,10.9,10.05,10.55,24200
KE0000000125,08-01-2018,,,,0
KE0000000315,08-01-2018,43,42.5,42.5,194300
KE0000000398,08-01-2018,9.1,9.1,9.1,1100
KE0000000406,08-01-2018,36.25,35.75,36,209300
KE0000000091,08-01-2018,81,81,81,2600
KE0000000448,08-01-2018,209,207,207,5600
KE1000001568,08-01-2018,16.5,16.3,16.3,230300
KE4000004095,08-01-2018,,,,0
KE5000005438,08-01-2018,3.4,3.4,3.4,10500
KE0000000588,08-01-2018,2.45,2.4,2.4,11300
KE0000000224,08-01-2018,,,,0
KE0000000307,08-01-2018,16.2,14.9,15,91500
KE2000002275,08-01-2018,6.25,5.7,5.8,10900
KE5000000090,08-01-2018,3.15,3.05,3.05,2200
KE0000000380,08-01-2018,116,115,115,11500
KE0000000232,08-01-2018,2.8,2.75,2.75,700
KE0000000455,08-01-2018,,,,0
KE0000000539,08-01-2018,32,32,32,100
KE0000000489,08-01-2018,4.25,4,4.05,216900
KE0000000562,08-01-2018,17.35,17.35,17.35,1000
KE0000000034,08-01-2018,13.8,13.75,13.75,37500
KE0000000059,08-01-2018,178,178,178,100
KE0000000141,08-01-2018,79,79,79,1000
KE0000000174,08-01-2018,5.75,5.5,5.55,10900
KE0000000190,08-01-2018,,,,0
KE0000000547,08-01-2018,8.5,8.15,8.2,950800
KE0000000323,08-01-2018,14.7,14.35,14.65,1414200
KE0000000349,08-01-2018,9.2,9.05,9.1,116500
KE4000001877,08-01-2018,,,,
KE4000002982,08-01-2018,,,,
KE0000000463,08-01-2018,25,25,25,13100
KE2000005815,08-01-2018,13.4,12.1,12.1,50100
KE2000002192,08-01-2018,13.8,13.4,13.5,87600
KE2000002317,08-01-2018,5.8,5.55,5.55,140600
KE0000000273,08-01-2018,497,497,497,20700
KE0000000604,08-01-2018,20,19.5,19.85,1900
KE2000002168,08-01-2018,13.9,13.5,13.85,10700
KE0000000414,08-01-2018,,,,0
KE0000000265,08-01-2018,44.75,44,44.25,72100
KE2000007258,08-01-2018,1.6,1.45,1.5,219300
KE4000001216,08-01-2018,,,,0
KE0000000166,08-01-2018,3.45,3.25,3.35,9800
KE2000002184,08-01-2018,6.6,6.4,6.4,10800
KE3000009674,08-01-2018,21,20,20.5,20500
KE0000000042,08-01-2018,,,,0
KE0000000075,08-01-2018,780,760,779,76000
KE0000000117,08-01-2018,12.95,12.55,12.75,20800
KE0000000216,08-01-2018,240,240,240,101000
KE4000001323,08-01-2018,4.7,4.5,4.5,4400
KE0000000331,08-01-2018,,,,0
KE0000000372,08-01-2018,1.2,1.1,1.1,385800
KE0000000497,08-01-2018,29,29,29,600
KE1000001402,08-01-2018,28.25,27.5,28,6873500
KE5000003656,08-01-2018,10.7,10.2,10.65,30800
KE5000007095,08-01-2018,1315,1315,1315,0
KE0000000208,09-01-2018,25,25,25,200
KE0000000281,09-01-2018,,,,0
KE4000001760,09-01-2018,72,72,72,100
KE0000000356,09-01-2018,,,,0
KE0000000430,09-01-2018,29.5,27,28,18000
KE0000000505,09-01-2018,158,158,158,1000
KE0000000109,09-01-2018,,,,0
KE0000000067,09-01-2018,9.9,9.6,9.65,110500
KE0000000158,09-01-2018,194,194,194,5100
KE0000000554,09-01-2018,41,40.25,40.75,1463900
KE0000000240,09-01-2018,10.9,10.1,10.5,44700
KE0000000125,09-01-2018,,,,0
KE0000000315,09-01-2018,43,42.75,42.75,762600
KE0000000398,09-01-2018,10,8.5,9.8,41100
KE0000000406,09-01-2018,36,35.5,35.5,239000
KE0000000091,09-01-2018,82,80,80,5000
KE0000000448,09-01-2018,207,205,205,3400
KE1000001568,09-01-2018,16.8,16.3,16.3,259900
KE4000004095,09-01-2018,,,,0
KE5000005438,09-01-2018,3.4,3.3,3.35,1400
KE0000000588,09-01-2018,2.45,2.4,2.4,13000
KE0000000224,09-01-2018,,,,0
KE0000000307,09-01-2018,16,15.1,15.3,139000
KE2000002275,09-01-2018,5.45,5.4,5.4,24600
KE5000000090,09-01-2018,3.15,3.05,3.1,24300
KE0000000380,09-01-2018,116,115,115,9800
KE0000000232,09-01-2018,2.65,2.6,2.6,500
KE0000000455,09-01-2018,30.5,30.5,30.5,1000
KE0000000539,09-01-2018,33,31.5,32.5,1300
KE0000000489,09-01-2018,4.1,3.9,4.05,75700
KE0000000562,09-01-2018,19,17.35,18.9,16600
KE0000000034,09-01-2018,13.8,13.5,13.7,40300
KE0000000059,09-01-2018,180,178,178,500800
KE0000000141,09-01-2018,80,80,80,100
KE0000000174,09-01-2018,5.55,5.55,5.55,600
KE0000000190,09-01-2018,,,,0
KE0000000547,09-01-2018,8.5,8.3,8.4,1.10E+07
KE0000000323,09-01-2018,14.8,14.5,14.5,61500
KE0000000349,09-01-2018,9.2,9.05,9.1,156500
KE4000001877,09-01-2018,,,,
KE4000002982,09-01-2018,,,,
KE0000000463,09-01-2018,26,25,25,15700
KE2000005815,09-01-2018,,,,0
KE2000002192,09-01-2018,13.6,13,13.15,57100
KE2000002317,09-01-2018,5.7,5.55,5.65,148600
KE0000000273,09-01-2018,,,,0
KE0000000604,09-01-2018,20,19.5,19.55,43700
KE2000002168,09-01-2018,13.95,13.9,13.95,4800
KE0000000414,09-01-2018,29.5,29.5,29.5,1300
KE0000000265,09-01-2018,45,44.25,44.25,32900
KE2000007258,09-01-2018,1.55,1.45,1.5,355700
KE4000001216,09-01-2018,,,,0
KE0000000166,09-01-2018,3.45,3.45,3.45,100
KE2000002184,09-01-2018,6.65,6.6,6.6,79000
KE3000009674,09-01-2018,21,20,20.25,17800
KE0000000042,09-01-2018,,,,0
KE0000000075,09-01-2018,753,753,753,300
KE0000000117,09-01-2018,12.75,12.25,12.25,1024500
KE0000000216,09-01-2018,240,238,240,574600
KE4000001323,09-01-2018,4.8,4.8,4.8,2000
KE0000000331,09-01-2018,,,,0
KE0000000372,09-01-2018,1.15,1.05,1.1,519100
KE0000000497,09-01-2018,30,30,30,500
KE1000001402,09-01-2018,28.25,27.75,28,2.10E+07
KE5000003656,09-01-2018,10.8,10.7,10.7,6200
KE5000007095,09-01-2018,1315,1315,1315,0
KE0000000208,10-01-2018,23,23,23,400
KE0000000281,10-01-2018,,,,0
KE4000001760,10-01-2018,,,,0
KE0000000356,10-01-2018,,,,0
KE0000000430,10-01-2018,28,27.25,27.75,11500
KE0000000505,10-01-2018,158,157,157,1700
KE0000000109,10-01-2018,,,,0
KE0000000067,10-01-2018,9.85,9.75,9.75,285400
KE0000000158,10-01-2018,195,195,195,2700
KE0000000554,10-01-2018,41.25,40.75,41,2882000
KE0000000240,10-01-2018,10.5,10.15,10.35,2000
KE0000000125,10-01-2018,118,115,115,9100
KE0000000315,10-01-2018,43.5,42.75,43,1354100
KE0000000398,10-01-2018,9.8,8.95,9.05,1200
KE0000000406,10-01-2018,36,35.5,35.5,137000
KE0000000091,10-01-2018,82,80,80.5,2700
KE0000000448,10-01-2018,206,205,205,5000
KE1000001568,10-01-2018,16.5,16.3,16.35,75300
KE4000004095,10-01-2018,,,,0
KE5000005438,10-01-2018,3.4,3.1,3.2,28100
KE0000000588,10-01-2018,2.45,2.25,2.35,114900
KE0000000224,10-01-2018,,,,0
KE0000000307,10-01-2018,16.75,15.2,16.2,130700
KE2000002275,10-01-2018,5.9,5.5,5.8,21000
KE5000000090,10-01-2018,3.15,3.15,3.15,900
KE0000000380,10-01-2018,116,115,115,27200
KE0000000232,10-01-2018,2.7,2.6,2.6,25000
KE0000000455,10-01-2018,33.5,30.25,31.75,1100
KE0000000539,10-01-2018,33,33,33,100
KE0000000489,10-01-2018,4,3.85,3.85,152700
KE0000000562,10-01-2018,19,18,18.9,753200
KE0000000034,10-01-2018,13.8,13.25,13.25,112100
KE0000000059,10-01-2018,,,,0
KE0000000141,10-01-2018,78,78,78,5200
KE0000000174,10-01-2018,5.7,5.55,5.65,4600
KE0000000190,10-01-2018,,,,0
KE0000000547,10-01-2018,8.5,8.3,8.4,172000
KE0000000323,10-01-2018,14.8,14.5,14.65,15400
KE0000000349,10-01-2018,9.3,9,9,1494300
KE4000001877,10-01-2018,,,,
KE4000002982,10-01-2018,,,,
KE0000000463,10-01-2018,25,23.25,24.5,490300
KE2000005815,10-01-2018,12.25,12.25,12.25,100
KE2000002192,10-01-2018,13.4,13,13,329500
KE2000002317,10-01-2018,5.75,5.55,5.6,184100
KE0000000273,10-01-2018,515,480,499,35700
KE0000000604,10-01-2018,20.25,19.55,19.75,5044500
KE2000002168,10-01-2018,13.6,13.5,13.55,10600
KE0000000414,10-01-2018,,,,0
KE0000000265,10-01-2018,44.5,44.25,44.25,66000
KE2000007258,10-01-2018,1.5,1.45,1.45,253700
KE4000001216,10-01-2018,,,,0
KE0000000166,10-01-2018,,,,0
KE2000002184,10-01-2018,6.75,6.1,6.1,138500
KE3000009674,10-01-2018,21,20.25,20.25,7100
KE0000000042,10-01-2018,107,107,107,300
KE0000000075,10-01-2018,753,753,753,500
KE0000000117,10-01-2018,12.7,11.75,11.85,43900
KE0000000216,10-01-2018,240,236,239,638200
KE4000001323,10-01-2018,4.8,4.7,4.75,900
KE0000000331,10-01-2018,,,,0
KE0000000372,10-01-2018,1.15,1.05,1.1,919400
KE0000000497,10-01-2018,30,29.5,29.75,11900
KE1000001402,10-01-2018,28,27.75,27.75,1.30E+07
KE5000003656,10-01-2018,10.8,10.8,10.8,8400
KE5000007095,10-01-2018,1305,1305,1305,0
KE0000000208,12-01-2018,,,,0
KE0000000281,12-01-2018,350,350,350,1800
KE4000001760,12-01-2018,70,70,70,400
KE0000000356,12-01-2018,,,,0
KE0000000430,12-01-2018,26,25,25.25,2800
KE0000000505,12-01-2018,156,156,156,4100
KE0000000109,12-01-2018,,,,0
KE0000000067,12-01-2018,9.9,9.7,9.75,586300
KE0000000158,12-01-2018,196,196,196,14200
KE0000000554,12-01-2018,42.5,41.5,41.5,177800
KE0000000240,12-01-2018,10.5,10.15,10.15,53100
KE0000000125,12-01-2018,125,116,119,300
KE0000000315,12-01-2018,45,43.75,44.25,1484800
KE0000000398,12-01-2018,9.9,9.05,9.25,2900
KE0000000406,12-01-2018,35.5,34.5,35.25,1237200
KE0000000091,12-01-2018,83,81,82.5,6200
KE0000000448,12-01-2018,208,205,207,18400
KE1000001568,12-01-2018,16.6,16.4,16.5,475300
KE4000004095,12-01-2018,,,,0
KE5000005438,12-01-2018,3.2,2.95,3.15,173500
KE0000000588,12-01-2018,2.45,2.3,2.3,18700
KE0000000224,12-01-2018,,,,0
